SortName	Sequence	Size	Comparations	Time	Status
RadixSort[4]	RandomSequence	25*10^3	0	1536mics	SUCCSES
RadixSort[8]	RandomSequence	25*10^3	0	777mics	SUCCSES
ShellSort	StepSequence	25*10^3	230748	955mics	SUCCSES
SelectionSort	StepSequence	25*10^3	312487500	1102668mics	SUCCSES
RadixSort[1]	StepSequence	25*10^3	0	5884mics	SUCCSES
RadixSort[2]	StepSequence	25*10^3	0	2917mics	SUCCSES
RadixSort[4]	StepSequence	25*10^3	0	1518mics	SUCCSES
RadixSort[8]	StepSequence	25*10^3	0	786mics	SUCCSES
ShellSort	IncreasingSequence	30*10^3	255243	788mics	SUCCSES
SelectionSort	IncreasingSequence	30*10^3	449985000	1676897mics	SUCCSES
RadixSort[1]	IncreasingSequence	30*10^3	0	7037mics	SUCCSES
RadixSort[2]	IncreasingSequence	30*10^3	0	3634mics	SUCCSES
RadixSort[4]	IncreasingSequence	30*10^3	0	1817mics	SUCCSES
RadixSort[8]	IncreasingSequence	30*10^3	0	963mics	SUCCSES
ShellSort	DecreasingSequence	30*10^3	285242	880mics	SUCCSES
SelectionSort	DecreasingSequence	30*10^3	449985000	1729480mics	SUCCSES
RadixSort[1]	DecreasingSequence	30*10^3	0	6985mics	SUCCSES
RadixSort[2]	DecreasingSequence	30*10^3	0	3536mics	SUCCSES
RadixSort[4]	DecreasingSequence	30*10^3	0	2078mics	SUCCSES
RadixSort[8]	DecreasingSequence	30*10^3	0	1338mics	SUCCSES
ShellSort	RandomSequence	30*10^3	988220	5822mics	SUCCSES
SelectionSort	RandomSequence	30*10^3	449985000	1659705mics	SUCCSES
RadixSort[1]	RandomSequence	30*10^3	0	6919mics	SUCCSES
RadixSort[2]	RandomSequence	30*10^3	0	3658mics	SUCCSES
RadixSort[4]	RandomSequence	30*10^3	0	1854mics	SUCCSES
RadixSort[8]	RandomSequence	30*10^3	0	951mics	SUCCSES
ShellSort	StepSequence	30*10^3	297363	1269mics	SUCCSES
SelectionSort	StepSequence	30*10^3	449985000	1601084mics	SUCCSES
RadixSort[1]	StepSequence	30*10^3	0	6778mics	SUCCSES
RadixSort[2]	StepSequence	30*10^3	0	3395mics	SUCCSES
RadixSort[4]	StepSequence	30*10^3	0	1734mics	SUCCSES
RadixSort[8]	StepSequence	30*10^3	0	918mics	SUCCSES
ShellSort	IncreasingSequence	35*10^3	300243	893mics	SUCCSES
SelectionSort	IncreasingSequence	35*10^3	612482500	2140591mics	SUCCSES
RadixSort[1]	IncreasingSequence	35*10^3	0	8089mics	SUCCSES
RadixSort[2]	IncreasingSequence	35*10^3	0	4072mics	SUCCSES
RadixSort[4]	IncreasingSequence	35*10^3	0	2088mics	SUCCSES
RadixSort[8]	IncreasingSequence	35*10^3	0	1115mics	SUCCSES
ShellSort	DecreasingSequence	35*10^3	335242	1022mics	SUCCSES
SelectionSort	DecreasingSequence	35*10^3	612482500	2283669mics	SUCCSES
RadixSort[1]	DecreasingSequence	35*10^3	0	7851mics	SUCCSES
RadixSort[2]	DecreasingSequence	35*10^3	0	3958mics	SUCCSES
RadixSort[4]	DecreasingSequence	35*10^3	0	2114mics	SUCCSES
RadixSort[8]	DecreasingSequence	35*10^3	0	1080mics	SUCCSES
ShellSort	RandomSequence	35*10^3	1077373	5827mics	SUCCSES
SelectionSort	RandomSequence	35*10^3	612482500	2154644mics	SUCCSES
RadixSort[1]	RandomSequence	35*10^3	0	8064mics	SUCCSES
RadixSort[2]	RandomSequence	35*10^3	0	4066mics	SUCCSES
RadixSort[4]	RandomSequence	35*10^3	0	2082mics	SUCCSES
RadixSort[8]	RandomSequence	35*10^3	0	1103mics	SUCCSES
ShellSort	StepSequence	35*10^3	350041	1471mics	SUCCSES
SelectionSort	StepSequence	35*10^3	612482500	2161333mics	SUCCSES
RadixSort[1]	StepSequence	35*10^3	0	8081mics	SUCCSES
RadixSort[2]	StepSequence	35*10^3	0	4092mics	SUCCSES
RadixSort[4]	StepSequence	35*10^3	0	2081mics	SUCCSES
RadixSort[8]	StepSequence	35*10^3	0	1098mics	SUCCSES
ShellSort	IncreasingSequence	40*10^3	345243	1037mics	SUCCSES
SelectionSort	IncreasingSequence	40*10^3	799980000	2814863mics	SUCCSES
RadixSort[1]	IncreasingSequence	40*10^3	0	9637mics	SUCCSES
RadixSort[2]	IncreasingSequence	40*10^3	0	4641mics	SUCCSES
RadixSort[4]	IncreasingSequence	40*10^3	0	2370mics	SUCCSES
RadixSort[8]	IncreasingSequence	40*10^3	0	1306mics	SUCCSES
ShellSort	DecreasingSequence	40*10^3	385242	1177mics	SUCCSES
SelectionSort	DecreasingSequence	40*10^3	799980000	2964313mics	SUCCSES
RadixSort[1]	DecreasingSequence	40*10^3	0	9329mics	SUCCSES
RadixSort[2]	DecreasingSequence	40*10^3	0	4601mics	SUCCSES
RadixSort[4]	DecreasingSequence	40*10^3	0	2347mics	SUCCSES
RadixSort[8]	DecreasingSequence	40*10^3	0	1234mics	SUCCSES
ShellSort	RandomSequence	40*10^3	1277015	7279mics	SUCCSES
SelectionSort	RandomSequence	40*10^3	799980000	2854022mics	SUCCSES
RadixSort[1]	RandomSequence	40*10^3	0	9295mics	SUCCSES
RadixSort[2]	RandomSequence	40*10^3	0	4756mics	SUCCSES
RadixSort[4]	RandomSequence	40*10^3	0	2478mics	SUCCSES
RadixSort[8]	RandomSequence	40*10^3	0	1281mics	SUCCSES
ShellSort	StepSequence	40*10^3	401498	1723mics	SUCCSES
SelectionSort	StepSequence	40*10^3	799980000	2797836mics	SUCCSES
RadixSort[1]	StepSequence	40*10^3	0	9011mics	SUCCSES
RadixSort[2]	StepSequence	40*10^3	0	4545mics	SUCCSES
RadixSort[4]	StepSequence	40*10^3	0	2319mics	SUCCSES
RadixSort[8]	StepSequence	40*10^3	0	1249mics	SUCCSES
ShellSort	IncreasingSequence	45*10^3	390243	1191mics	SUCCSES
SelectionSort	IncreasingSequence	45*10^3	1012477500	3745011mics	SUCCSES
RadixSort[1]	IncreasingSequence	45*10^3	0	10451mics	SUCCSES
RadixSort[2]	IncreasingSequence	45*10^3	0	5263mics	SUCCSES
RadixSort[4]	IncreasingSequence	45*10^3	0	2729mics	SUCCSES
RadixSort[8]	IncreasingSequence	45*10^3	0	1455mics	SUCCSES
ShellSort	DecreasingSequence	45*10^3	435242	1338mics	SUCCSES
SelectionSort	DecreasingSequence	45*10^3	1012477500	3615451mics	SUCCSES
RadixSort[1]	DecreasingSequence	45*10^3	0	10386mics	SUCCSES
RadixSort[2]	DecreasingSequence	45*10^3	0	5228mics	SUCCSES
RadixSort[4]	DecreasingSequence	45*10^3	0	2682mics	SUCCSES
RadixSort[8]	DecreasingSequence	45*10^3	0	1413mics	SUCCSES
ShellSort	RandomSequence	45*10^3	1404792	8056mics	SUCCSES
SelectionSort	RandomSequence	45*10^3	1012477500	3525206mics	SUCCSES
RadixSort[1]	RandomSequence	45*10^3	0	10463mics	SUCCSES
RadixSort[2]	RandomSequence	45*10^3	0	5091mics	SUCCSES
RadixSort[4]	RandomSequence	45*10^3	0	2595mics	SUCCSES
RadixSort[8]	RandomSequence	45*10^3	0	1376mics	SUCCSES
ShellSort	StepSequence	45*10^3	453686	1827mics	SUCCSES
SelectionSort	StepSequence	45*10^3	1012477500	3601422mics	SUCCSES
RadixSort[1]	StepSequence	45*10^3	0	10496mics	SUCCSES
RadixSort[2]	StepSequence	45*10^3	0	5250mics	SUCCSES
RadixSort[4]	StepSequence	45*10^3	0	2723mics	SUCCSES
RadixSort[8]	StepSequence	45*10^3	0	1449mics	SUCCSES
ShellSort	IncreasingSequence	50*10^3	435243	1329mics	SUCCSES
SelectionSort	IncreasingSequence	50*10^3	1249975000	4462305mics	SUCCSES
RadixSort[1]	IncreasingSequence	50*10^3	0	11573mics	SUCCSES
RadixSort[2]	IncreasingSequence	50*10^3	0	5926mics	SUCCSES
RadixSort[4]	IncreasingSequence	50*10^3	0	3067mics	SUCCSES
